frame,faces,emotions,activities
30,0,[],Dançando
60,0,[],Dançando
90,0,[],Dançando
120,0,[],Dançando
150,0,[],Dançando
180,0,[],Dançando
210,1,['Indefinido'],Dançando
240,1,['Indefinido'],Dançando
270,1,['Indefinido'],Dançando
300,1,['Indefinido'],Dançando
330,1,['Indefinido'],Dançando
360,1,['Indefinido'],Dançando
390,0,[],Dançando
420,0,[],Indefinido
450,0,[],Indefinido
480,0,[],Indefinido
510,0,[],Indefinido
540,0,[],Indefinido
570,1,['Indefinido'],Dançando
600,0,[],Dançando
630,1,['Indefinido'],Dançando
660,0,[],Dançando
690,1,['Indefinido'],Dançando
720,0,[],Dançando
750,1,['Indefinido'],Dançando
780,1,['Indefinido'],Dançando
810,1,['Indefinido'],Dançando
840,1,['Indefinido'],Dançando
870,1,['Indefinido'],Dançando
